date;timeStamp;rawPd1;rawPd2;rosa1530pd;ntc_1530;ntc_1310;opCode;cur_1530;cur_1310;metadata;app_session_counter;device_config;intpl_ntc_1530;intpl_ntc_1310;intpl_rawPd1;intpl_rawPd2
2025-03-26 06:36:33.148577690+01:00;1742967393.1485777;-0.3549331849733811;-0.1145619290544902;-0.0087976466176088;;;;;;;;;44.99846;24.99977;-0.355;-0.115
2025-03-26 06:36:33.168787003+01:00;1742967393.168787;-0.354964775438878;-0.1145678895196782;-0.0087952624315336;;;;;;;;;44.9985;24.99983;-0.355;-0.115
2025-03-26 06:36:33.189001560+01:00;1742967393.1890016;-0.3549814647414046;-0.114562525101009;-0.0087797652220446;;;;;;;;;44.99854;24.99989;-0.355;-0.115
2025-03-26 06:36:33.209265709+01:00;1742967393.2092657;-0.3550064986951946;-0.114475502309263;-0.0087577115008487;;;;;;;;;44.99857;24.99996;-0.355;-0.114
2025-03-26 06:36:33.229492903+01:00;1742967393.229493;-0.3549361652059752;-0.1146507399857926;-0.0087529431286982;;;;;;;;;44.99861;25.00002;-0.355;-0.115
2025-03-26 06:36:33.249773502+01:00;1742967393.2497735;-0.3548694079958687;-0.1148843902211654;-0.008738041965728;;;;;;;;;44.99865;25.00008;-0.355;-0.115
2025-03-26 06:36:33.270021677+01:00;1742967393.2700217;-0.3549361652059752;-0.1153940099947464;-0.0087386380122468;;;;;;;;;44.99869;25.00015;-0.355;-0.115
2025-03-26 06:36:33.290514469+01:00;1742967393.2905145;-0.354952258461983;-0.1347798269724639;-0.0086981068489678;;;;;;;;;44.99873;25.00021;-0.355;-0.135
2025-03-26 06:36:33.311028004+01:00;1742967393.311028;-0.3549468940433137;-0.1339757602185917;-0.0086981068489678;;;;;;;;;44.99877;25.00028;-0.355;-0.134
2025-03-26 06:36:33.348262310+01:00;1742967393.3482623;-0.3549725240436225;-0.1040351514858188;-0.0086772452208096;;;;;;;;;44.99883;25.00039;-0.355;-0.104
2025-03-26 06:36:33.381964684+01:00;1742967393.3819647;-0.3549653714853968;-0.1069098838460306;-0.0086581717322077;;;;;;;;;44.9989;25.0005;-0.355;-0.107
2025-03-26 06:36:33.383201122+01:00;1742967393.3832011;;;;44.9989;25.0005;;-0.0719;0.0556;;;;44.9989;25.0005;-0.355;-0.107
2025-03-26 06:36:33.402457952+01:00;1742967393.402458;-0.3545350258988173;-0.1159161467452224;-0.0086522112670196;;;;;;;;;44.99894;25.00043;-0.355;-0.116
2025-03-26 06:36:33.422971487+01:00;1742967393.4229715;-0.3541440193824791;-0.1183611295653736;-0.008651019173982;;;;;;;;;44.99897;25.00035;-0.354;-0.118
2025-03-26 06:36:33.443419695+01:00;1742967393.4434197;-0.3545850938063972;-0.1157397169756552;-0.0086379061505682;;;;;;;;;44.99901;25.00027;-0.355;-0.116
2025-03-26 06:36:33.463812113+01:00;1742967393.463812;-0.3545666163643141;-0.1156264681370816;-0.0086313496388613;;;;;;;;;44.99905;25.0002;-0.355;-0.116
2025-03-26 06:36:33.484229565+01:00;1742967393.4842296;-0.3545582717130508;-0.1143020527722898;-0.0086277733597485;;;;;;;;;44.99909;25.00012;-0.355;-0.114
2025-03-26 06:36:33.504698514+01:00;1742967393.5046985;-0.3549772924157729;-0.114372982308028;-0.0086110840572218;;;;;;;;;44.99913;25.00004;-0.355;-0.114
2025-03-26 06:36:33.524925709+01:00;1742967393.5249257;-0.3550053066021569;-0.1139539616053058;-0.0086092959176654;;;;;;;;;44.99917;24.99997;-0.355;-0.114
2025-03-26 06:36:33.545135021+01:00;1742967393.545135;-0.3550041145091193;-0.114419473936495;-0.0085967789407704;;;;;;;;;44.9992;24.99989;-0.355;-0.114
2025-03-26 06:36:33.565340996+01:00;1742967393.565341;-0.3549778884622918;-0.1143896716105546;-0.0085967789407704;;;;;;;;;44.99924;24.99982;-0.355;-0.114
2025-03-26 06:36:33.585549593+01:00;1742967393.5855496;-0.3548181479952512;-0.1143467562612004;-0.0085741291730557;;;;;;;;;44.99928;24.99974;-0.355;-0.114
2025-03-26 06:36:33.605865955+01:00;1742967393.605866;-0.3549874252065927;-0.1143390076564559;-0.0085616121961608;;;;;;;;;44.99932;24.99966;-0.355;-0.114
2025-03-26 06:36:33.626087427+01:00;1742967393.6260874;-0.3549635833458404;-0.114400996494412;-0.0085473070797094;;;;;;;;;44.99936;24.99959;-0.355;-0.114
2025-03-26 06:36:33.649916172+01:00;1742967393.6499162;-0.3549814647414046;-0.1086688171230336;-0.0085401545214837;;;;;;;;;44.9994;24.9995;-0.355;-0.109
2025-03-26 06:36:33.682662487+01:00;1742967393.6826625;-0.3550142472999391;-0.1064795382594511;-0.0085198889398442;;;;;;;;;44.99946;24.99938;-0.355;-0.106
2025-03-26 06:36:33.682708025+01:00;1742967393.682708;;;;;;0.0;;;;;;44.99946;24.99938;-0.355;-0.106
2025-03-26 06:36:33.702688932+01:00;1742967393.702689;;;;44.9995;24.9993;;-0.0719;0.0556;;;;44.9995;24.9993;-0.355;-0.108
2025-03-26 06:36:33.707739592+01:00;1742967393.7077396;-0.3549790805553294;-0.1082116494431077;-0.008517504753769;;;;;;;;;44.99951;24.99929;-0.355;-0.108
2025-03-26 06:36:33.727963686+01:00;1742967393.7279637;-0.3549236482290802;-0.1143485444007568;-0.0085288296376263;;;;;;;;;44.99953;24.99926;-0.355;-0.114
2025-03-26 06:36:33.748197794+01:00;1742967393.7481978;-0.3549218600895238;-0.1142531769577475;-0.0085282335911075;;;;;;;;;44.99956;24.99923;-0.355;-0.114
2025-03-26 06:36:33.768410444+01:00;1742967393.7684104;-0.3549880212531115;-0.1143306630051926;-0.008520484986363;;;;;;;;;44.99958;24.9992;-0.355;-0.114
2025-03-26 06:36:33.788616896+01:00;1742967393.788617;-0.3549761003227353;-0.1143032448653274;-0.0085169087072502;;;;;;;;;44.99961;24.99917;-0.355;-0.114
2025-03-26 06:36:33.808880568+01:00;1742967393.8088806;-0.3549713319505849;-0.1143473523077192;-0.0085210810328818;;;;;;;;;44.99963;24.99913;-0.355;-0.114
2025-03-26 06:36:33.829097986+01:00;1742967393.829098;-0.3549689477645096;-0.1144725220766689;-0.0085210810328818;;;;;;;;;44.99966;24.9991;-0.355;-0.114
2025-03-26 06:36:33.849308491+01:00;1742967393.8493085;-0.3550023263695629;-0.1144325869599088;-0.0085347901028144;;;;;;;;;44.99968;24.99907;-0.355;-0.114
2025-03-26 06:36:33.869521618+01:00;1742967393.8695216;-0.3547913259019048;-0.1143932478896675;-0.0085520754518598;;;;;;;;;44.99971;24.99904;-0.355;-0.114
2025-03-26 06:36:33.889758110+01:00;1742967393.889758;-0.3550249761372776;-0.1143247025400045;-0.0085622082426796;;;;;;;;;44.99973;24.99901;-0.355;-0.114
2025-03-26 06:36:33.910031557+01:00;1742967393.9100316;-0.3550035184626005;-0.1143241064934857;-0.0085735331265369;;;;;;;;;44.99976;24.99898;-0.355;-0.114
2025-03-26 06:36:33.930269003+01:00;1742967393.930269;-0.3549617952062839;-0.1143652337032835;-0.0085800896382438;;;;;;;;;44.99979;24.99894;-0.355;-0.114
